order_item_id,order_id,product_id,quantity,price,discount,total
1,1,22,1,993.79,292.31,993.79
2,1,10,4,667.52,39.6,2670.08
3,1,12,1,1432.2,295.93,1432.2
4,1,43,4,1611.71,58.44,6446.84
5,2,66,4,1341.36,125.1,5365.44
6,2,39,3,1470.8,71.25,4412.4
7,2,28,2,1428.31,52.12,2856.62
8,3,95,4,1010.37,171.03,4041.48
9,4,69,2,503.37,61.78,1006.74
10,5,21,5,1817.01,355.16,9085.05
11,5,59,3,476.51,90.26,1429.53
12,5,29,2,1065.57,62.6,2131.14
13,6,74,4,1362.15,384.51,5448.6
14,6,33,4,1594.63,306.84,6378.52
15,6,35,4,701.56,7.9,2806.24
16,6,59,4,1638.23,95.46,6552.92
17,6,58,3,1517.46,117.84,4552.38
18,7,98,4,1886.23,560.41,7544.92
19,7,18,2,923.49,224.2,1846.98
20,7,91,1,1279.95,219.92,1279.95
21,8,94,1,1511.49,12.9,1511.49
22,8,79,2,153.37,0.48,306.74
23,9,38,1,1758.19,48.89,1758.19
24,10,16,5,151.09,9.65,755.45
25,10,65,1,1347.87,196.8,1347.87
26,11,9,1,1755.81,171.73,1755.81
27,11,3,3,974.2,115.0,2922.6
28,11,44,1,1948.78,252.88,1948.78
29,11,38,2,1241.58,366.18,2483.16
30,12,25,2,572.09,63.86,1144.18
31,12,2,5,1013.87,264.33,5069.35
32,12,99,1,1115.33,238.77,1115.33
33,13,51,1,1419.02,330.58,1419.02
34,14,17,2,903.96,246.36,1807.92
35,14,43,2,1631.47,81.17,3262.94
36,14,95,3,141.23,29.55,423.69
37,15,78,1,1883.35,554.03,1883.35
38,15,29,5,1621.02,7.02,8105.1
39,15,11,4,1906.46,486.78,7625.84
40,15,36,3,1886.39,326.06,5659.17
41,15,22,5,592.06,170.55,2960.3
42,16,4,4,1114.53,132.87,4458.12
43,16,97,1,1965.47,146.53,1965.47
44,16,11,4,888.59,181.9,3554.36
45,16,32,1,297.28,79.3,297.28
46,17,14,4,787.84,84.47,3151.36
47,18,98,1,475.5,88.32,475.5
48,19,49,3,1407.54,295.89,4222.62
49,19,26,3,1826.73,545.3,5480.19
50,20,35,2,1929.97,290.87,3859.94
51,20,8,3,951.68,235.9,2855.04
52,20,83,3,1826.58,510.47,5479.74
53,20,77,4,1560.39,371.4,6241.56
54,21,36,1,1778.31,21.81,1778.31
55,21,31,4,696.61,174.04,2786.44
56,21,60,4,496.56,7.01,1986.24
57,21,40,3,1375.97,192.96,4127.91
58,21,49,3,524.78,127.47,1574.34
59,22,69,2,1940.35,274.42,3880.7
60,23,43,1,531.71,35.54,531.71
61,23,53,5,1512.91,372.08,7564.55
62,23,34,1,1093.82,215.5,1093.82
63,23,88,4,1647.76,147.44,6591.04
64,24,5,1,1994.72,229.45,1994.72
65,24,92,5,72.9,19.24,364.5
66,24,39,4,800.04,90.73,3200.16
67,25,14,3,258.93,31.84,776.79
68,25,88,2,180.0,1.61,360.0
69,26,45,5,1388.69,289.63,6943.45
70,26,36,1,1193.55,127.03,1193.55
71,26,42,1,1398.22,306.03,1398.22
72,27,68,5,1439.55,6.96,7197.75
73,27,46,2,1988.14,207.37,3976.28
74,27,76,1,398.33,85.5,398.33
75,27,17,4,55.69,13.91,222.76
76,27,84,3,1895.62,155.06,5686.86
77,28,68,2,1720.41,449.79,3440.82
78,28,72,3,1597.49,15.68,4792.47
79,29,60,1,1405.17,138.13,1405.17
80,29,58,2,1008.89,221.19,2017.78
81,29,51,4,75.07,6.65,300.28
82,29,53,5,40.83,3.73,204.15
83,30,73,4,1268.09,309.63,5072.36
84,30,55,2,315.02,17.49,630.04
85,30,83,2,729.85,89.25,1459.7
86,30,89,2,622.31,142.8,1244.62
87,30,70,2,910.52,131.53,1821.04
88,31,7,5,186.95,34.54,934.75
89,31,64,1,842.83,136.98,842.83
90,31,41,3,167.11,29.71,501.33
91,31,15,4,1958.91,94.52,7835.64
92,31,28,2,1364.87,328.58,2729.74
93,32,13,5,341.86,25.47,1709.3
94,32,53,2,1358.43,181.11,2716.86
95,32,26,1,735.47,177.84,735.47
96,32,30,1,351.54,29.82,351.54
97,33,7,4,796.63,53.14,3186.52
98,34,12,2,847.43,101.11,1694.86
99,34,48,4,666.81,44.72,2667.24
100,34,64,1,157.61,4.48,157.61
101,34,28,2,761.17,117.87,1522.34
102,35,45,3,1853.82,322.58,5561.46
103,35,58,5,224.95,52.4,1124.75
104,36,35,2,1204.39,120.34,2408.78
105,36,40,5,1773.25,239.18,8866.25
106,36,28,1,1236.7,181.45,1236.7
107,36,48,5,1465.63,365.8,7328.15
108,37,11,5,864.86,143.78,4324.3
109,37,55,1,885.83,205.38,885.83
110,37,76,4,516.99,127.12,2067.96
111,37,96,1,10.66,2.61,10.66
112,38,23,4,1233.85,7.06,4935.4
113,38,15,4,1322.27,143.74,5289.08
114,38,52,5,1659.61,210.8,8298.05
115,39,26,4,1005.13,231.95,4020.52
116,39,33,2,785.21,222.47,1570.42
117,40,54,5,1387.06,276.38,6935.3
118,41,20,2,1393.54,198.46,2787.08
119,41,89,3,1819.69,57.31,5459.07
120,42,80,3,1043.42,121.3,3130.26
121,43,73,3,1485.15,212.22,4455.45
122,44,5,1,290.76,71.13,290.76
123,44,48,4,1886.32,452.74,7545.28
124,44,21,5,544.56,28.27,2722.8
125,44,83,1,1621.94,437.28,1621.94
126,44,27,2,54.64,1.6,109.28
127,45,32,2,1601.85,279.98,3203.7
128,45,99,2,1027.17,78.82,2054.34
129,45,41,5,1275.32,20.89,6376.6
130,45,20,3,1068.27,188.46,3204.81
131,46,65,2,1004.12,96.65,2008.24
132,46,18,3,1473.15,1.68,4419.45
133,46,89,5,1734.7,167.73,8673.5
134,47,46,5,713.99,10.84,3569.95
135,47,4,4,213.1,44.48,852.4
136,47,19,2,730.46,133.62,1460.92
137,47,40,5,220.02,9.57,1100.1
138,48,48,3,388.59,75.72,1165.77
139,49,67,4,1130.64,267.95,4522.56
140,49,23,5,1795.04,26.12,8975.2
141,50,17,2,1663.13,318.01,3326.26
142,51,33,5,635.1,181.52,3175.5
143,51,60,4,551.93,163.77,2207.72
144,51,40,5,1724.77,228.08,8623.85
